query_id,image_id,image_path
3,4702270,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/903be103-954f-409b-81f1-82d4478928f0.jpg
3,2918841,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/83e4da9d-f3c1-409c-b111-05b1b7667c9c.jpg
3,4499201,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/cafd684a-e194-4819-9f6e-b27bceb04916.jpg
3,3197221,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/757b4fcd-4e7f-4b46-969b-30e81d78c1e0.jpg
3,4770549,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/a625c121-b28d-4549-a7a3-b82e81499a51.jpg
3,2754925,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/d79112bb-bf04-4206-b16a-4a41f0119a9b.jpg
3,4807723,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/d9c12cd1-50c4-46b0-bbf5-b4aab3c6ce1d.jpg
3,4543786,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/2d2ff77a-2e20-4de8-ab46-c9da46be0a02.jpg
3,2465072,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/48047a5d-ffe5-46cd-934f-8cfd50819f78.jpg
3,326238,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/ba3dafc7-f856-4528-930f-7f786603e0ba.jpg
3,4748789,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/beb0b576-1989-4649-8ca3-4f6ec1c529cc.jpg
3,1220207,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/697699be-089e-4cf2-b583-f801d37d2e1f.jpg
3,102754,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/86b36f09-c36c-452f-831a-90a1d8f7b6ec.jpg
3,30521,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/600564ca-a395-4244-83bc-3f4fda2af033.jpg
3,4779414,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/f4b0d19b-91b2-4d2e-a6f2-46b3724d1614.jpg
3,1051289,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/09b2a11e-8ed0-4aab-8dba-2ada9bbc9c43.jpg
3,2293213,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/ac32ecdd-6f5f-4c70-95da-501d2b8c4140.jpg
3,3200318,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/4dc07bcf-ba89-4b57-9a4e-76998e8b0bb3.jpg
3,1226003,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/429ebb13-c3c4-44be-9f55-548ac8b66ef5.jpg
3,2737533,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/40348668-5880-4e1a-910f-ac6fe3af2057.jpg
3,3337559,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/c93fc12d-d4c6-4072-a0ce-6830bf45472b.jpg
3,4687218,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/1d1d5c07-c3be-4311-8661-652ab3721edf.jpg
3,2767468,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/b882812e-d1e5-4106-8a0b-3a9a27ad9086.jpg
3,1548322,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/7232271a-6933-4fd3-9b57-5ca3409e12e9.jpg
3,4792177,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/86d9ebee-3f76-4704-9926-2b2302e8bc83.jpg
3,4788436,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/af3eedc0-d986-48a1-b02f-ffacead7b566.jpg
3,4053225,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/a4820392-3198-48e7-b4d2-babcc4c02fb1.jpg
3,260199,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/453d10f9-3a8d-4f43-9728-341fa9e409c3.jpg
3,2004524,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/dafcc521-6e80-4557-a5b2-506db874c281.jpg
3,1380129,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/6fda1af6-6c94-4985-9e14-16ff6ea8be39.jpg
3,2967699,train/04686_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Mungos_mungo/7fa18cf0-1507-4848-9624-fec6f015b738.jpg
3,3960001,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/d444a3da-5d27-4c29-b07d-4cdbf47c1e80.jpg
3,2987309,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/54b40029-8e7f-402b-86ca-9090371fd41e.jpg
3,4028359,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/8247cc72-8c3b-4194-98e0-154b9f6e85af.jpg
3,953152,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/05d10a77-bf97-467e-9535-d0016894d228.jpg
3,3003702,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/7d5a1dd9-d860-40fe-bbdb-ee721d2284c1.jpg
3,3022907,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/c52a4f09-8b9f-4f68-a832-3c6c4dc34f74.jpg
3,1971873,train/04687_Animalia_Chordata_Mammalia_Carnivora_Herpestidae_Urva_auropunctata/9426cdbc-9ba1-46a5-a27a-22567b3ed6ba.jpg
4,3153672,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/77d8b563-830a-475b-a4d4-ade3dd8b4b77.jpg
4,3139640,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/a0cd10da-1f4e-4a90-a4a9-d875c8b17c20.jpg
4,4089652,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/9804186a-27d3-4f55-b01f-d7520c05e489.jpg
4,2820168,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/8f23afdb-03ea-4306-856a-e499466a6dce.jpg
4,4557611,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/1c9bc6e9-b215-4903-8291-6d6e5475d45b.jpg
4,4763240,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/52e79dda-0cbd-47e8-ab66-1f8c902cf280.jpg
4,2695116,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/f3a02c86-5ed1-4b06-9817-00ab821af248.jpg
4,4257216,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/a702c441-f4bd-4efe-9499-74efbf4e21d4.jpg
4,30617,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/8bbaaa33-ad72-4758-a314-f210a6402e46.jpg
4,2913599,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/b433eb4c-0fec-4603-8558-981b9d569087.jpg
4,1290794,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/ea99a251-bf63-433a-8f94-2281ab9eda00.jpg
4,1180129,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/dabc4737-19b0-4870-960b-2e02c74c4f22.jpg
4,2968201,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/be5ac0c1-0321-459d-a9d3-5d2fd1b2161a.jpg
4,2464287,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/a1934ab9-08c4-45a9-9e59-8fac02dd4388.jpg
4,3399223,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/1a1534e0-8bcd-4c79-bd7a-ff30f1c6c58a.jpg
4,2792154,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/85c1afc4-1d4d-4d45-bffb-d4ddde21f1c7.jpg
4,2844454,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/c404771e-7a4b-42fa-9d96-59da63d7b1d0.jpg
4,104661,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/08be0542-1a7f-419a-817a-bb121490de09.jpg
4,4750263,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/a522f841-617c-4c1c-a890-4509b4909582.jpg
4,2984961,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/ee4d0182-0f38-41c5-9f9f-7ee7a3600cfa.jpg
4,3166643,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/3bd6f659-f27c-4726-bea0-3e36d3f178cf.jpg
4,1412475,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/15cc4223-495e-47bd-87d4-746d6082dfd4.jpg
4,4411690,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/84caf9ab-c2c3-412a-9df1-d1f3536ddd17.jpg
4,3640868,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/2c365186-f24c-4253-b408-dd0469dac988.jpg
4,919544,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/c1e0d43c-b7e5-4a9e-a19d-121417be36c1.jpg
4,1417721,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/e5174707-d985-4e3f-a8f4-a1497f019d76.jpg
4,3030604,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/f1784242-c2d9-4420-a82e-1ccc989d8824.jpg
4,1552018,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/390cefa2-ac04-4b4b-a2de-02fd678d938c.jpg
4,3411424,train/03891_Animalia_Chordata_Aves_Passeriformes_Icteridae_Leistes_loyca/409d987b-4f66-43d2-bbaf-905075adad4a.jpg
